Time(ms), Neuron ID
28203.000000, 11
28203.000000, 12
28203.000000, 13
28204.000000, 6
28213.000000, 5
28223.000000, 4
28233.000000, 3
28243.000000, 2
28263.000000, 1
28303.000000, 0
29203.000000, 7
29203.000000, 8
29203.000000, 9
29203.000000, 10
29203.000000, 11
29203.000000, 12
29203.000000, 13
29204.000000, 6
29213.000000, 5
29223.000000, 4
29233.000000, 3
29243.000000, 2
29263.000000, 1
29303.000000, 0
30203.000000, 7
30203.000000, 8
30203.000000, 9
30203.000000, 10
30203.000000, 11
30203.000000, 12
30203.000000, 13
30204.000000, 6
30213.000000, 5
30223.000000, 4
30233.000000, 3
30243.000000, 2
30263.000000, 1
30303.000000, 0
31203.000000, 7
31203.000000, 8
31203.000000, 9
31203.000000, 10
31203.000000, 11
31203.000000, 12
31203.000000, 13
31204.000000, 6
31213.000000, 5
31223.000000, 4
31233.000000, 3
31243.000000, 2
31263.000000, 1
31303.000000, 0
32203.000000, 7
32203.000000, 8
32203.000000, 9
32203.000000, 10
32203.000000, 11
32203.000000, 12
32203.000000, 13
32204.000000, 6
32213.000000, 5
32223.000000, 4
32233.000000, 3
32243.000000, 2
32263.000000, 1
32303.000000, 0
33203.000000, 7
33203.000000, 8
33203.000000, 9
33203.000000, 10
33203.000000, 11
33203.000000, 12
33203.000000, 13
33204.000000, 6
33213.000000, 5
33223.000000, 4
33233.000000, 3
33243.000000, 2
33263.000000, 1
33303.000000, 0
34203.000000, 7
34203.000000, 8
34203.000000, 9
34203.000000, 10
34203.000000, 11
34203.000000, 12
34203.000000, 13
34204.000000, 6
34213.000000, 5
34223.000000, 4
34233.000000, 3
34243.000000, 2
34263.000000, 1
34303.000000, 0
35203.000000, 7
35203.000000, 8
35203.000000, 9
35203.000000, 10
35203.000000, 11
35203.000000, 12
35203.000000, 13
35204.000000, 6
35213.000000, 5
35223.000000, 4
35233.000000, 3
35243.000000, 2
35263.000000, 1
35303.000000, 0
36203.000000, 7
36203.000000, 8
36203.000000, 9
36203.000000, 10
36203.000000, 11
36203.000000, 12
36203.000000, 13
36204.000000, 6
36213.000000, 5
36223.000000, 4
36233.000000, 3
36243.000000, 2
36263.000000, 1
36303.000000, 0
37203.000000, 7
37203.000000, 8
37203.000000, 9
37203.000000, 10
37203.000000, 11
37203.000000, 12
37203.000000, 13
37204.000000, 6
37213.000000, 5
37223.000000, 4
37233.000000, 3
37243.000000, 2
37263.000000, 1
37303.000000, 0
38202.000000, 7
38203.000000, 8
38203.000000, 9
38203.000000, 10
38203.000000, 11
38203.000000, 12
38203.000000, 13
38204.000000, 6
38213.000000, 5
38223.000000, 4
38233.000000, 3
38243.000000, 2
38263.000000, 1
38303.000000, 0
39202.000000, 7
39203.000000, 8
39203.000000, 9
39203.000000, 10
39203.000000, 11
39203.000000, 12
39203.000000, 13
39204.000000, 6
39213.000000, 5
39223.000000, 4
39233.000000, 3
39243.000000, 2
39263.000000, 1
39303.000000, 0
40202.000000, 7
40203.000000, 8
40203.000000, 9
40203.000000, 10
40203.000000, 11
40203.000000, 12
40203.000000, 13
40204.000000, 6
40213.000000, 5
40223.000000, 4
40233.000000, 3
40243.000000, 2
40263.000000, 1
40303.000000, 0
41202.000000, 7
41203.000000, 8
41203.000000, 9
41203.000000, 10
41203.000000, 11
41203.000000, 12
41203.000000, 13
41204.000000, 6
41213.000000, 5
41223.000000, 4
41233.000000, 3
41243.000000, 2
41263.000000, 1
41303.000000, 0
42202.000000, 7
42203.000000, 8
42203.000000, 9
42203.000000, 10
42203.000000, 11
42203.000000, 12
42203.000000, 13
42204.000000, 6
42213.000000, 5
42223.000000, 4
42233.000000, 3
42243.000000, 2
42263.000000, 1
42303.000000, 0
43202.000000, 7
43203.000000, 8
43203.000000, 9
43203.000000, 10
43203.000000, 11
43203.000000, 12
43203.000000, 13
43204.000000, 6
43213.000000, 5
43223.000000, 4
43233.000000, 3
43243.000000, 2
43263.000000, 1
43303.000000, 0
44202.000000, 7
44203.000000, 8
44203.000000, 9
44203.000000, 10
44203.000000, 11
44203.000000, 12
44203.000000, 13
44204.000000, 6
44213.000000, 5
44223.000000, 4
44233.000000, 3
44243.000000, 2
44263.000000, 1
44303.000000, 0
45202.000000, 7
45203.000000, 8
45203.000000, 9
45203.000000, 10
45203.000000, 11
45203.000000, 12
45203.000000, 13
45204.000000, 6
45213.000000, 5
45223.000000, 4
45233.000000, 3
45243.000000, 2
45263.000000, 1
45303.000000, 0
46202.000000, 7
46203.000000, 8
46203.000000, 9
46203.000000, 10
46203.000000, 11
46203.000000, 12
46203.000000, 13
46204.000000, 6
46213.000000, 5
